report_id,country_code,rate,year
541,MNG,98.01677704,2000
542,MNG,98.17469788,2010
543,MNG,98.18601227,2018
544,MNG,99.12138367,2020
545,MNE,96.32053375,1981
546,MNE,89.28208923,1991
547,MNE,99.30319214,2003
548,MNE,99.43121338,2011
549,MNE,99.45046997,2018
550,MAR,43.7143898,1982
551,MAR,55.15517044,1994
552,MAR,65.70675659,2004
553,MAR,68.36585999,2008
554,MAR,68.9176178,2009
555,MAR,76.07357788,2011
556,MAR,80.38336182,2012
557,MAR,75.36726379,2014
558,MAR,83.30135345,2018
559,MOZ,43.77833176,1980
560,MOZ,54.81887817,1997
561,MOZ,65.57710266,2003
562,MOZ,67.35469818,2009
563,MOZ,70.75839233,2015
564,MOZ,72.59944916,2017
565,MMR,85.7883606,1983
566,MMR,93.924263,2000
567,MMR,80.01158905,2016
568,MMR,92.39292908,2019
569,NAM,77.80812073,1991
570,NAM,86.55522919,2001
571,NAM,74.32834625,2007
572,NAM,88.63123322,2011
573,NAM,91.62741852,2018
574,NPL,31.67275047,1981
575,NPL,49.22002029,1991
576,NPL,62.70801163,2001
577,NPL,71.70838165,2011
578,NPL,78.59133911,2018
579,NCL,92.19094086,1976
580,NCL,94.04418945,1989
581,NCL,96.78476715,1996
582,NCL,98.13999939,2014
583,NIC,76.76049042,2001
584,NIC,78.09642792,2005
585,NIC,82.43855286,2015
586,NER,19.64006042,2001
587,NER,42.92736816,2005
588,NER,39.05868912,2012
589,NER,43.59405899,2018
590,NGA,67.65373993,1991
591,NGA,66.76743317,2003
592,NGA,76.13186646,2006
593,NGA,61.25405121,2008
594,NGA,71.25570679,2018
595,PRK,99.99887848,2008
596,MKD,97.23235321,1994
597,MKD,98.21278381,2002
598,MKD,98.80999756,2014
599,MKD,99.11786652,2020
600,OMN,86.86234283,2003
601,OMN,89.99932098,2008
602,OMN,90.24302673,2010
603,OMN,94.99073792,2014
604,OMN,96.63287354,2015
605,OMN,96.63082886,2016
606,OMN,97.02387238,2017
607,OMN,96.98941803,2018
608,PAK,35.38064957,1981
609,PAK,55.29661179,1998
610,PAK,64.06047821,2005
611,PAK,67.65184021,2006
612,PAK,65.00493622,2007
613,PAK,68.8660965,2008
614,PAK,68.62761688,2009
615,PAK,68.90061188,2010
616,PAK,66.99114227,2011
617,PAK,69.85822296,2012
618,PAK,68.62934113,2013
619,PAK,69.06681061,2014
620,PAK,71.11599731,2017
621,PAK,69.27658081,2018
622,PAK,69.28746033,2019
623,PLW,93.2873764,1980
624,PLW,99.46720886,2013
625,PLW,96.81275177,2015
626,PSE,92.24852753,1997
627,PSE,96.07893372,2004
628,PSE,97.08058929,2006
629,PSE,97.10471344,2007
630,PSE,97.20130157,2008
631,PSE,97.31667328,2009
632,PSE,97.52520752,2010
633,PSE,97.74404907,2011
634,PSE,98.06757355,2012
635,PSE,98.26705933,2013
636,PSE,98.27913666,2014
637,PSE,98.37687683,2015
638,PSE,98.50679016,2016
639,PSE,98.52600861,2017
640,PSE,98.65782166,2018
641,PSE,98.80442047,2019
642,PSE,98.79380035,2020
643,PAN,88.09651947,1980
644,PAN,89.33695984,1990
645,PAN,92.54792786,2000
646,PAN,94.70741272,2010
647,PAN,95.96893311,2018
648,PAN,96.14089966,2019
649,PNG,63.44522095,2000
650,PNG,65.29000092,2010
651,PRY,81.08306885,1982
652,PRY,92.00015259,1992
653,PRY,95.71237946,2007
654,PRY,94.12631989,2008
655,PRY,94.36772919,2009
656,PRY,94.8131485,2010
657,PRY,94.81725311,2012
658,PRY,95.6661911,2013
659,PRY,95.87412262,2014
660,PRY,96.25430298,2015
661,PRY,95.47605896,2016
662,PRY,94.51148224,2018
663,PRY,93.78816986,2019
664,PRY,94.92147064,2020
665,PER,90.1435318,1981
666,PER,92.85101318,1993
667,PER,93.46070099,2004
668,PER,93.7183075,2005
669,PER,94.22582245,2006
670,PER,94.85703278,2007
671,PER,96.95012665,2012
672,PER,96.94898224,2014
673,PER,97.10637665,2015
674,PER,97.1884613,2016
675,PER,97.03974152,2017
676,PER,97.12136841,2018
677,PER,96.98989105,2020
678,PHL,83.88928986,1980
679,PHL,93.97168732,1990
680,PHL,93.30285645,1994
681,PHL,92.54499817,2000
682,PHL,91.63449097,2003
683,PHL,95.01213074,2008
684,PHL,96.00833893,2013
685,PHL,98.12325287,2015
686,PHL,95.70572662,2019
687,POL,99.27516937,1978
688,POL,99.27516937,1988
689,POL,99.27516937,1998
690,POL,99.27516937,2008
691,PRT,84.83334351,1981
692,PRT,91.58705902,1991
693,PRT,96.2855835,2011
694,PRT,97.35362244,2018
695,PRI,87.74803162,1980
696,PRI,89.50269318,1990
697,PRI,91.33078003,2010
698,PRI,92.38996124,2017
699,QAT,76.79582977,1986
700,QAT,84.24456024,1997
701,QAT,86.73982239,2004
702,QAT,89.95789337,2007
703,QAT,91.43579102,2008
704,QAT,91.36682129,2009
705,QAT,91.74861908,2010
706,QAT,91.65413666,2011
707,QAT,89.9982605,2012
708,QAT,90.34342957,2013
709,QAT,91.04651642,2014
710,QAT,92.88156128,2016
711,QAT,93.14446259,2017
712,ROU,98.53202057,1992
713,ROU,98.40440369,2002
714,ROU,99.0342865,2011
715,ROU,99.10800934,2018
716,RUS,99.45623779,1989
717,RUS,99.69407654,2002
718,RUS,99.72830963,2010
719,RUS,99.72515869,2018
720,RWA,50.82326126,1978
721,RWA,71.41938019,2000
722,RWA,71.13053894,2010
723,RWA,72.4451828,2012
724,RWA,76.14972687,2014
725,RWA,77.55879974,2018
726,WSM,98.41568756,1991
727,WSM,98.88191986,2011
728,WSM,98.95609283,2018
