report_id,country_code,rate,gender
636,PSE,98.27913666,male
637,PSE,98.37687683,male
638,PSE,98.50679016,male
639,PSE,98.52600861,male
640,PSE,98.65782166,male
641,PSE,98.80442047,male
642,PSE,98.79380035,male
643,PAN,88.09651947,male
644,PAN,89.33695984,male
645,PAN,92.54792786,male
646,PAN,94.70741272,male
647,PAN,95.96893311,male
648,PAN,96.14089966,male
649,PNG,63.44522095,male
650,PNG,65.29000092,male
651,PRY,81.08306885,male
652,PRY,92.00015259,male
653,PRY,95.71237946,male
654,PRY,94.12631989,male
655,PRY,94.36772919,male
656,PRY,94.8131485,male
657,PRY,94.81725311,male
658,PRY,95.6661911,male
659,PRY,95.87412262,male
660,PRY,96.25430298,male
661,PRY,95.47605896,male
662,PRY,94.51148224,male
663,PRY,93.78816986,male
664,PRY,94.92147064,male
665,PER,90.1435318,male
666,PER,92.85101318,male
667,PER,93.46070099,male
668,PER,93.7183075,male
669,PER,94.22582245,male
670,PER,94.85703278,male
671,PER,96.95012665,male
672,PER,96.94898224,male
673,PER,97.10637665,male
674,PER,97.1884613,male
675,PER,97.03974152,male
676,PER,97.12136841,male
677,PER,96.98989105,male
678,PHL,83.88928986,male
679,PHL,93.97168732,male
680,PHL,93.30285645,male
681,PHL,92.54499817,male
682,PHL,91.63449097,male
683,PHL,95.01213074,male
684,PHL,96.00833893,male
685,PHL,98.12325287,male
686,PHL,95.70572662,male
687,POL,99.27516937,male
688,POL,99.27516937,male
689,POL,99.27516937,male
690,POL,99.27516937,male
691,PRT,84.83334351,male
692,PRT,91.58705902,male
693,PRT,96.2855835,male
694,PRT,97.35362244,male
695,PRI,87.74803162,male
696,PRI,89.50269318,male
697,PRI,91.33078003,male
698,PRI,92.38996124,male
699,QAT,76.79582977,male
700,QAT,84.24456024,male
701,QAT,86.73982239,male
702,QAT,89.95789337,male
703,QAT,91.43579102,male
704,QAT,91.36682129,male
705,QAT,91.74861908,male
706,QAT,91.65413666,male
707,QAT,89.9982605,male
708,QAT,90.34342957,male
709,QAT,91.04651642,male
710,QAT,92.88156128,male
711,QAT,93.14446259,male
712,ROU,98.53202057,male
713,ROU,98.40440369,male
714,ROU,99.0342865,male
715,ROU,99.10800934,male
716,RUS,99.45623779,male
717,RUS,99.69407654,male
718,RUS,99.72830963,male
719,RUS,99.72515869,male
720,RWA,50.82326126,male
721,RWA,71.41938019,male
722,RWA,71.13053894,male
723,RWA,72.4451828,male
724,RWA,76.14972687,male
725,RWA,77.55879974,male
726,WSM,98.41568756,male
727,WSM,98.88191986,male
728,WSM,98.95609283,male
729,STP,73.14115143,male
730,STP,85.24964142,male
731,STP,92.23467255,male
732,STP,80.33023834,male
733,STP,94.95616913,male
734,STP,96.16268158,male
735,SAU,79.96852875,male
736,SAU,87.06076813,male
737,SAU,87.53204346,male
738,SAU,96.53143311,male
739,SAU,97.10370636,male
740,SAU,98.62293243,male
741,SEN,36.90288162,male
742,SEN,51.05152893,male
743,SEN,52.25848007,male
744,SEN,59.78427124,male
745,SEN,66.03601074,male
746,SEN,53.9004097,male
747,SEN,64.81227875,male
748,SRB,98.90718079,male
749,SRB,99.26464081,male
750,SRB,99.49970245,male
751,SRB,99.87580872,male
752,SYC,82.93166351,male
753,SYC,87.01515961,male
754,SYC,91.40731812,male
755,SYC,93.46392059,male
756,SYC,95.41175842,male
757,SLE,46.65428925,male
758,SLE,41.33216858,male
759,SLE,51.6468811,male
760,SGP,91.56623077,male
761,SGP,95.09316254,male
762,SGP,96.56510162,male
763,SGP,98.03713989,male
764,SGP,98.39283752,male
765,SGP,98.46945953,male
766,SGP,98.5425415,male
767,SGP,98.60901642,male
768,SGP,98.55957031,male
769,SGP,98.73446655,male
770,SGP,98.79692078,male
771,SGP,98.85089874,male
772,SGP,98.90351868,male
773,SVN,99.60208893,male
774,SVN,99.69000244,male
775,SVN,99.69000244,male
776,SLB,83.69999695,male
777,SLB,83.69999695,male
778,SOM,7.198440075,male
779,ZAF,77.52559662,male
780,ZAF,84.07138062,male
781,ZAF,90.71759033,male
782,ZAF,94.12145996,male
783,ZAF,94.14385223,male
784,ZAF,94.24508667,male
785,ZAF,94.96372223,male
786,ZAF,95.28684998,male
787,ZAF,95.39653015,male
788,ZAF,87.67774963,male
789,ZAF,95.54537201,male
790,KOR,98.31552124,male
791,SSD,34.83692932,male
792,SSD,40.26480865,male
793,ESP,95.8975296,male
794,ESP,98.03549194,male
795,ESP,98.14391327,male
796,ESP,98.61746979,male
797,ESP,98.56102753,male
798,ESP,98.633461,male
799,ESP,98.40229797,male
800,ESP,98.46193695,male
801,ESP,98.52571106,male
802,ESP,98.53618622,male
803,ESP,98.60652924,male
804,ESP,98.74874878,male
805,ESP,98.73126984,male
806,ESP,98.77088928,male
807,ESP,98.83596802,male
808,ESP,98.92539215,male
809,ESP,99.02506256,male
810,LKA,91.3483963,male
811,LKA,92.27020264,male
812,LKA,92.71365356,male
813,LKA,92.243927,male
814,LKA,92.57846832,male
815,LKA,93.45588684,male
816,LKA,92.98055267,male
817,LKA,92.77292633,male
818,LKA,93.03135681,male
819,SDN,71.58101654,male
820,SDN,59.79824829,male
821,SDN,65.43515015,male
822,SUR,92.0163269,male
823,SUR,95.49294281,male
824,SUR,95.36479187,male
825,SUR,94.86987305,male
826,SUR,96.07404327,male
827,SYR,73.58422089,male
828,SYR,91.02857208,male
829,SYR,87.75814056,male
830,TJK,98.79109192,male
831,TJK,99.68399048,male
832,TJK,99.81999969,male
833,TZA,71.3657074,male
834,TZA,77.50640106,male
835,TZA,75.46779633,male
836,TZA,83.37769318,male
837,TZA,83.20484924,male
838,THA,92.21295929,male
839,THA,94.90157318,male
840,THA,95.60024261,male
841,THA,96.43502045,male
842,THA,95.25125885,male
843,THA,94.65911865,male
844,THA,95.20239258,male
845,TLS,45.29999924,male
846,TLS,58.5,male
847,TLS,63.59178925,male
848,TLS,71.86872101,male
849,TGO,68.72573853,male
850,TGO,70.2702713,male
851,TGO,71.16635132,male
852,TGO,74.05682373,male
853,TGO,77.25942993,male
854,TGO,79.99169159,male
855,TON,99.65866089,male
856,TON,98.83406067,male
857,TON,98.95388031,male
858,TON,99.33509827,male
859,TON,99.35098267,male
860,TTO,96.52153015,male
861,TTO,98.00980377,male
862,TTO,98.75,male
863,TTO,99.13999939,male
864,TUN,60.40723038,male
865,TUN,83.38509369,male
866,TUN,86.05368042,male
867,TUN,86.37580872,male
868,TUN,87.37573242,male
869,TUN,87.76075745,male
870,TUN,88.47577667,male
871,TUN,86.06011963,male
872,TUR,77.50393677,male
873,TUR,81.44944,male
874,TUR,87.61972046,male
875,TUR,89.84703064,male
876,TUR,95.27349091,male
877,TUR,96.00061798,male
878,TUR,95.99562073,male
879,TUR,96.20185852,male
880,TUR,96.37770844,male
881,TUR,97.29981232,male
882,TUR,97.93498993,male
883,TUR,98.26290131,male
884,TUR,98.40136719,male
885,TUR,98.49678802,male
886,TUR,98.57562256,male
887,TUR,98.77583313,male
888,TUR,98.81996155,male
889,TUR,99.07530975,male
890,TKM,99.32498169,male
891,TKM,99.75,male
892,UGA,68.1980896,male
893,UGA,78.30402374,male
894,UGA,81.38858795,male
895,UGA,82.63139343,male
896,UGA,79.12303925,male
897,UGA,82.65601349,male
898,UKR,99.74343109,male
899,UKR,99.99394226,male
900,ARE,58.3861084,male
901,ARE,72.27427673,male
902,ARE,89.48210144,male
903,ARE,98.02413177,male
904,URY,93.38825989,male
905,URY,94.83361053,male
906,URY,96.24452972,male
907,URY,97.44477844,male
908,URY,97.42169189,male
909,URY,97.83128357,male
910,URY,97.97241974,male
911,URY,97.61016846,male
912,URY,98.02310944,male
913,URY,98.10397339,male
914,URY,98.06342316,male
915,URY,98.02507019,male
916,URY,98.1459198,male
917,URY,98.24452972,male
918,URY,98.23419189,male
919,URY,98.37136078,male
920,URY,98.4809494,male
921,UZB,99.16443634,male
922,UZB,99.99382782,male
923,UZB,99.98519135,male
924,UZB,99.99204254,male
925,UZB,99.99487305,male
926,UZB,99.99997711,male
927,UZB,99.99994659,male
928,VUT,57.33509827,male
929,VUT,62.31000137,male
930,VUT,71.76999664,male
931,VUT,80.48000336,male
932,VUT,86.18000031,male
933,VUT,88.30635071,male
934,VEN,86.48932648,male
935,VEN,90.6725235,male
936,VEN,93.25744629,male
937,VEN,95.38172913,male
938,VEN,95.67536926,male
939,VEN,94.50231934,male
940,VEN,96.65107727,male
941,VEN,97.03910828,male
942,VNM,90.38147736,male
943,VNM,93.00299072,male
944,VNM,93.91825867,male
945,VNM,93.93267822,male
946,VNM,95.78533173,male
947,VNM,96.99069977,male
948,YEM,56.72475052,male
949,YEM,73.16000366,male
950,ZMB,73.037323,male
